artis,Acquired Immunodeficiency Syndrome Treatment Information Service
aif,acute IF
ards,acute respiratory distress syndrome
alkb,alpha ketoglutarate dependent dioxygenase
itac,Anti Coronavirus Immunoglobulin
avt,antiviral therapy
apis,asymptomatic patients in the incubation period
bp,blood pressure
ceacam,carcinoembryonic antigen related cell adhesion molecule 
cdc,Centers for Disease Control and Prevention
cms,Centers for Medicare & Medicaid Services
cms,Centers for Medicare & Medicaid Services
cns,central nervous system
cxcr,chemokine (C X C motif) receptor
copd,Chronic obstructive pulmonary disease
clp,cleft lip and palate
crc,colorectal cancer
cdna,complementary Deoxyribonucleic Acid
ci,confidence interval
cfmv,constant flow mechanical ventilation
cnv,Copy Number Variation
covid,coronavirus disease
cypd,cyclophilin D
ctl,cytotoxic T lymphocyte
dna,Deoxyribonucleic Acid
dic,disseminated intravascular coagulation
ecg,Electrocardiogram
eid,emerging infectious diseases
emcv,encephalomyocarditis virus 
egfp,enhanced green fluorescent protein
ebv,Epstein Barr Virus
egfr,estimated glomerular filtration rate
exon,exoribonuclease
fdr,false discovery rate
fmd,Fibromuscular dysplasia
fqpcr,fluorescent quantification polymerase chain reaction
fmdv,foot and mouth disease virus
gi,gastrointestinal
gpc,General Practitioner Cooperative
gps,General Practitioners
gps,General Practitioners
glm,Generalized Linear Model
gbm,Glioblastoma
gpgs,Global Public Goods 
gapdh,glyceraldehyde 3 phosphate dehydrogenase
gmcsf,Granulocyte macrophage colony stimulating factor
gfp,green fluorescent protein
gfpuv,green fluorescent protein variant optimized for maximal fluorescence when excited by ultraviolet light
hrva,Hazard risk and vulnerability analysis
hcw,healthcare workers
hrv,Heart rate variability
hfs,Hemifacial spasm
hlh,Hemophagocytic lymphohistiocytosis
hses,Hemorrhagic shock and encephalopathy syndrome
hav,Hepatitis A Virus
hcv,hepatitis C virus
hev,hepatitis E virus
hev,hepatitis E virus
hsv,Herpes simplex virus
hnrnp,heterogeneous nuclear ribonucleoprotein
hcc,Hierarchical Condition Category
hts,High throughput screening
hpai,highly pathogenic avian influenza
hpi,History of Present Illness
hbov,human bocavirus
hcov,human coronavirus
hhv,Human Herpesvirus
hiv,human immunodeficiency virus
hmpv,Human Metapneumovirus
hmpv,human metapneumovirus
iedb,Immune Epitope Database
igg,immunoglobulin G
ip,inducible protein
ili,influenza like illness
ifv,influenza virus
ifn,interferon
isg,interferon stimulated genes
ir,Interventional radiology
iev,Intracellular Enveloped Virus
imv,invasive mechanical ventilation
kd,Kawasaki disease
kda,kilodalton
lccd,Late Complement Component Deficiency
lr,Likelihood Ratio
lps,lipopolysaccharide
lhd,local health department
mri,Magnetic Resonance Imaging
mdc,Major Diagnostic Category
mnv,mean neutrophil volume
mcmc,medical care monitoring center
mrna,Messenger ribonucleic acid
mirnas,micro ribonucleic acids
mst,military sexual trauma
mgkg,milligram of medication per kilogram
mmhg,millimeters of mercury
mcp,monocyte chemoattractant protein
mhv,mouse hepatitis virus
mcdm,Multiple Criteria Decision Making
mcmv,murine cytomegalovirus
nagk,N acetylglutamate kinase
ns,nasal swabs
np,nasopharyngeal
niaid,National Institute of Allergy and Infectious Diseases
nk,natural killer
nsclc,Non small cell lung cancer
nf?b,Nuclear factor kappa B
orf,Open reading frame
piv,parainfluenza virus
pfu,plaque forming unit
pdcs,Plasmacytoid dendritic cells
pcr,polymerase chain reaction
perv,Porcine Endogenous Retrovirus
ptgs,post traumatic growth
pvm,post viral myositis
ph,potential of hydrogen
pma,Premarket Approval
pbc,Primary biliary cholangitis
pcd ,Primary ciliary dyskinesia
psgs,product specific guidances
pli,Professional liability insurance
psf,prostacyclin stabilizing factor
pkr,protein kinase R
phe,?Public health emergency
qpcr,quantitative polymerase chain reaction
